"testProvidedHeader","ReturnValsMutator","49","KILLED"
"testProvidedHeader","NegateConditionalsMutator","60","KILLED"
"testProvidedHeader","NegateConditionalsMutator","66","KILLED"
"testProvidedHeader","ReturnValsMutator","66","KILLED"
"testExcelFormat2","ReturnValsMutator","74","KILLED"
"testReadLine","ReturnValsMutator","159","KILLED"
"testEmptyInput","ReturnValsMutator","150","KILLED"
"testEmptyInput","VoidMethodCallMutator","146","KILLED"
"testReadLookahead2","VoidMethodCallMutator","148","KILLED"
"testGetLineNumberWithLF","MathMutator","59","KILLED"
"testReadLine","NegateConditionalsMutator","58","KILLED"
"testReadLine","NegateConditionalsMutator","58","KILLED"
"testGetLineNumberWithLF","NegateConditionalsMutator","58","KILLED"
"testEmptyInput","ReturnValsMutator","62","KILLED"
"none","ConditionalsBoundaryMutator","87","SURVIVED"
"testReadLookahead2","ConditionalsBoundaryMutator","89","KILLED"
"testReadLookahead2","IncrementsMutator","89","KILLED"
"none","MathMutator","89","SURVIVED"
"testReadLookahead2","MathMutator","100","KILLED"
"testReadLookahead2","MathMutator","100","KILLED"
"testReadLookahead2","NegateConditionalsMutator","81","KILLED"
"testReadLookahead2","NegateConditionalsMutator","87","KILLED"
"none","NegateConditionalsMutator","89","SURVIVED"
"none","NegateConditionalsMutator","91","SURVIVED"
"none","NegateConditionalsMutator","95","SURVIVED"
"testEmptyInput","ReturnValsMutator","82","KILLED"
"testReadLookahead2","ReturnValsMutator","106","KILLED"
"testEmptyInput","ReturnValsMutator","76","KILLED"
"testReadLine","ConditionalsBoundaryMutator","126","KILLED"
"testReadLine","MathMutator","127","KILLED"
"testReadLine","MathMutator","129","KILLED"
"testEmptyInput","NegateConditionalsMutator","125","KILLED"
"testReadLine","NegateConditionalsMutator","126","KILLED"
"testEmptyInput","ReturnValsMutator","134","KILLED"
"testNextToken2","ReturnValsMutator","60","KILLED"
"testExcelFormat2","VoidMethodCallMutator","57","KILLED"
"testForEach","ReturnValsMutator","228","KILLED"
"testForEach","NegateConditionalsMutator","204","KILLED"
"testForEach","NegateConditionalsMutator","208","KILLED"
"testForEach","ReturnValsMutator","208","KILLED"
"testForEach","NegateConditionalsMutator","215","KILLED"
"testIterator","NegateConditionalsMutator","218","KILLED"
